epoch 	 scene 	 val_loss 	 click_auc 	 like_auc 	 follow_auc 	 5s_auc 	 10s_auc 	 18s_auc
20	scene 1	2.3120	0.6230	0.6780	0.9220	0.6320	0.6410	0.6620
20	scene 2	2.3120	0.6840	0.7400	0.7960	0.6740	0.6910	0.7160
20	scene 3	2.3120	0.7090	0.7270	0.7450	0.7130	0.7280	0.7440
20	scene 4	2.3120	0.6780	0.7070	0.6330	0.6730	0.6810	0.6810
21	total scene	2.3520	0.7440	0.7580	0.7990	0.7500	0.7480	0.7610
21	scene 1	2.3040	0.6250	0.6730	0.9270	0.6350	0.6420	0.6610
21	scene 2	2.3040	0.6870	0.7430	0.7980	0.6770	0.6930	0.7180
21	scene 3	2.3040	0.7110	0.7230	0.7500	0.7150	0.7290	0.7450
21	scene 4	2.3040	0.6810	0.7110	0.6200	0.6760	0.6840	0.6840
22	total scene	2.3480	0.7450	0.7610	0.8120	0.7510	0.7500	0.7630
22	scene 1	2.2950	0.6230	0.6750	0.9070	0.6380	0.6470	0.6650
22	scene 2	2.2950	0.6890	0.7460	0.8110	0.6790	0.6950	0.7200
22	scene 3	2.2950	0.7120	0.7410	0.7700	0.7160	0.7290	0.7450
22	scene 4	2.2950	0.6840	0.7150	0.6420	0.6790	0.6880	0.6880
23	total scene	2.3410	0.7480	0.7630	0.8090	0.7540	0.7520	0.7650
23	scene 1	2.2880	0.6300	0.6830	0.9020	0.6420	0.6520	0.6740
23	scene 2	2.2880	0.6930	0.7490	0.8090	0.6830	0.6980	0.7230
23	scene 3	2.2880	0.7160	0.7300	0.7460	0.7200	0.7350	0.7490
23	scene 4	2.2880	0.6860	0.7160	0.6500	0.6810	0.6880	0.6880
24	total scene	2.3380	0.7490	0.7660	0.8060	0.7550	0.7530	0.7660
24	scene 1	2.2800	0.6330	0.6810	0.9110	0.6460	0.6540	0.6750
24	scene 2	2.2800	0.6940	0.7520	0.8080	0.6840	0.6990	0.7240
24	scene 3	2.2800	0.7160	0.7320	0.7450	0.7210	0.7350	0.7510
24	scene 4	2.2800	0.6890	0.7250	0.6300	0.6830	0.6920	0.6920
25	total scene	2.3300	0.7510	0.7690	0.8110	0.7570	0.7550	0.7680
25	scene 1	2.2730	0.6350	0.6810	0.9210	0.6500	0.6580	0.6800
25	scene 2	2.2730	0.6970	0.7560	0.8120	0.6870	0.7020	0.7260
25	scene 3	2.2730	0.7200	0.7430	0.7390	0.7240	0.7390	0.7530
25	scene 4	2.2730	0.6920	0.7290	0.6740	0.6870	0.6950	0.6950
26	total scene	2.3270	0.7520	0.7700	0.8170	0.7580	0.7560	0.7690
26	scene 1	2.2670	0.6370	0.6900	0.8810	0.6520	0.6600	0.6790
26	scene 2	2.2670	0.6980	0.7560	0.8180	0.6880	0.7030	0.7270
26	scene 3	2.2670	0.7190	0.7390	0.7480	0.7230	0.7380	0.7530
26	scene 4	2.2670	0.6940	0.7280	0.6670	0.6880	0.6960	0.6960
27	total scene	2.3220	0.7540	0.7710	0.8160	0.7600	0.7580	0.7700
27	scene 1	2.2600	0.6390	0.6900	0.8790	0.6530	0.6610	0.6800
27	scene 2	2.2600	0.7000	0.7580	0.8190	0.6900	0.7050	0.7290
27	scene 3	2.2600	0.7230	0.7430	0.7450	0.7260	0.7410	0.7560
27	scene 4	2.2600	0.6970	0.7250	0.6720	0.6910	0.7000	0.7000
28	total scene	2.3170	0.7550	0.7730	0.8160	0.7610	0.7590	0.7720
28	scene 1	2.2540	0.6430	0.6950	0.8580	0.6570	0.6650	0.6840
28	scene 2	2.2540	0.7020	0.7600	0.8180	0.6920	0.7070	0.7310
28	scene 3	2.2540	0.7220	0.7480	0.7420	0.7260	0.7410	0.7560
28	scene 4	2.2540	0.6980	0.7240	0.6780	0.6930	0.7010	0.7010
29	total scene	2.3140	0.7560	0.7760	0.8110	0.7620	0.7600	0.7720
29	scene 1	2.2480	0.6430	0.6990	0.8410	0.6570	0.6660	0.6870
29	scene 2	2.2480	0.7040	0.7640	0.8130	0.6940	0.7080	0.7320
29	scene 3	2.2480	0.7240	0.7400	0.7370	0.7280	0.7440	0.7570
29	scene 4	2.2480	0.6990	0.7320	0.6540	0.6940	0.7030	0.7030
30	total scene	2.3110	0.7570	0.7770	0.8110	0.7630	0.7610	0.7740
30	scene 1	2.2430	0.6440	0.6970	0.8780	0.6600	0.6680	0.6890
30	scene 2	2.2430	0.7060	0.7650	0.8130	0.6960	0.7100	0.7340
30	scene 3	2.2430	0.7250	0.7450	0.7260	0.7290	0.7440	0.7590
30	scene 4	2.2430	0.7020	0.7330	0.6670	0.6960	0.7040	0.7040
31	total scene	2.3100	0.7580	0.7800	0.8170	0.7640	0.7620	0.7740
31	scene 1	2.2370	0.6470	0.7010	0.8430	0.6620	0.6690	0.6880
31	scene 2	2.2370	0.7070	0.7680	0.8190	0.6970	0.7100	0.7340
31	scene 3	2.2370	0.7260	0.7490	0.7490	0.7310	0.7450	0.7600
31	scene 4	2.2370	0.7020	0.7380	0.6560	0.6970	0.7060	0.7060
32	total scene	2.3060	0.7590	0.7810	0.8120	0.7650	0.7630	0.7760
32	scene 1	2.2320	0.6490	0.7030	0.7650	0.6640	0.6710	0.6910
32	scene 2	2.2320	0.7080	0.7700	0.8170	0.6980	0.7120	0.7360
32	scene 3	2.2320	0.7280	0.7460	0.7420	0.7330	0.7480	0.7620
32	scene 4	2.2320	0.7040	0.7360	0.6550	0.6980	0.7070	0.7070
33	total scene	2.3020	0.7600	0.7830	0.8200	0.7660	0.7640	0.7760
33	scene 1	2.2270	0.6510	0.7040	0.8270	0.6660	0.6740	0.6910
33	scene 2	2.2270	0.7100	0.7720	0.8230	0.6990	0.7130	0.7370
33	scene 3	2.2270	0.7290	0.7530	0.7520	0.7330	0.7480	0.7610
33	scene 4	2.2270	0.7060	0.7360	0.6650	0.7000	0.7090	0.7090
34	total scene	2.3000	0.7610	0.7860	0.8150	0.7670	0.7650	0.7770
34	scene 1	2.2220	0.6510	0.7040	0.8290	0.6670	0.6740	0.6940
34	scene 2	2.2220	0.7110	0.7740	0.8160	0.7000	0.7140	0.7380
34	scene 3	2.2220	0.7290	0.7600	0.7380	0.7330	0.7480	0.7630
34	scene 4	2.2220	0.7070	0.7410	0.6740	0.7010	0.7100	0.7100
35	total scene	2.2990	0.7620	0.7870	0.8150	0.7680	0.7650	0.7780
35	scene 1	2.2180	0.6520	0.7070	0.8100	0.6680	0.6760	0.6950
35	scene 2	2.2180	0.7120	0.7750	0.8190	0.7010	0.7150	0.7390
35	scene 3	2.2180	0.7300	0.7590	0.7420	0.7340	0.7490	0.7630
35	scene 4	2.2180	0.7080	0.7450	0.6790	0.7020	0.7100	0.7100
36	total scene	2.2960	0.7620	0.7860	0.8210	0.7680	0.7660	0.7780
36	scene 1	2.2150	0.6540	0.7080	0.7720	0.6690	0.6770	0.6950
36	scene 2	2.2150	0.7120	0.7760	0.8220	0.7020	0.7160	0.7390
36	scene 3	2.2150	0.7290	0.7630	0.7500	0.7330	0.7480	0.7630
36	scene 4	2.2150	0.7080	0.7390	0.6920	0.7030	0.7120	0.7120
37	total scene	2.2940	0.7630	0.7890	0.8150	0.7690	0.7670	0.7790
37	scene 1	2.2110	0.6550	0.7080	0.6980	0.6720	0.6790	0.6980
37	scene 2	2.2110	0.7130	0.7780	0.8170	0.7030	0.7170	0.7400
37	scene 3	2.2110	0.7320	0.7540	0.7500	0.7350	0.7510	0.7650
37	scene 4	2.2110	0.7100	0.7480	0.6700	0.7040	0.7130	0.7130
38	total scene	2.2930	0.7640	0.7910	0.8140	0.7700	0.7670	0.7800
38	scene 1	2.2070	0.6570	0.7090	0.7090	0.6720	0.6810	0.6990
38	scene 2	2.2070	0.7140	0.7800	0.8170	0.7040	0.7170	0.7410
38	scene 3	2.2070	0.7310	0.7710	0.7470	0.7360	0.7510	0.7640
38	scene 4	2.2070	0.7110	0.7470	0.6740	0.7050	0.7140	0.7140
39	total scene	2.2900	0.7640	0.7930	0.8150	0.7700	0.7680	0.7800
39	scene 1	2.2030	0.6570	0.7150	0.7080	0.6740	0.6810	0.7000
39	scene 2	2.2030	0.7150	0.7820	0.8190	0.7040	0.7180	0.7420
39	scene 3	2.2030	0.7320	0.7640	0.7490	0.7350	0.7500	0.7650
39	scene 4	2.2030	0.7110	0.7490	0.6700	0.7050	0.7140	0.7140
40	total scene	2.2950	0.7640	0.7930	0.8070	0.7700	0.7680	0.7800
40	scene 1	2.2000	0.6570	0.7150	0.7620	0.6720	0.6790	0.6960
40	scene 2	2.2000	0.7150	0.7830	0.8090	0.7050	0.7180	0.7410
40	scene 3	2.2000	0.7310	0.7600	0.7360	0.7360	0.7500	0.7650
40	scene 4	2.2000	0.7120	0.7510	0.6810	0.7060	0.7160	0.7160
41	total scene	2.2860	0.7650	0.7960	0.8080	0.7710	0.7690	0.7810
41	scene 1	2.1970	0.6590	0.7200	0.7460	0.6760	0.6830	0.7010
41	scene 2	2.1970	0.7160	0.7850	0.8100	0.7060	0.7190	0.7430
41	scene 3	2.1970	0.7330	0.7640	0.7520	0.7370	0.7510	0.7660
41	scene 4	2.1970	0.7130	0.7560	0.6640	0.7070	0.7160	0.7160
42	total scene	2.2870	0.7650	0.7950	0.8090	0.7710	0.7690	0.7810
42	scene 1	2.1940	0.6590	0.7140	0.6940	0.6760	0.6840	0.7030
42	scene 2	2.1940	0.7160	0.7850	0.8120	0.7060	0.7190	0.7430
42	scene 3	2.1940	0.7330	0.7620	0.7460	0.7370	0.7520	0.7660
42	scene 4	2.1940	0.7140	0.7530	0.6680	0.7070	0.7170	0.7170
43	total scene	2.2870	0.7660	0.7980	0.8120	0.7720	0.7690	0.7820
43	scene 1	2.1910	0.6590	0.7210	0.6420	0.6760	0.6830	0.7010
43	scene 2	2.1910	0.7170	0.7880	0.8150	0.7070	0.7200	0.7430
43	scene 3	2.1910	0.7330	0.7710	0.7500	0.7370	0.7510	0.7660
43	scene 4	2.1910	0.7140	0.7530	0.6750	0.7080	0.7180	0.7180
44	total scene	2.2830	0.7660	0.7990	0.8140	0.7720	0.7700	0.7820
44	scene 1	2.1890	0.6610	0.7180	0.7440	0.6780	0.6850	0.7030
44	scene 2	2.1890	0.7180	0.7890	0.8170	0.7070	0.7210	0.7440
44	scene 3	2.1890	0.7340	0.7660	0.7340	0.7380	0.7520	0.7660
44	scene 4	2.1890	0.7140	0.7600	0.6930	0.7080	0.7170	0.7170
45	total scene	2.2830	0.7670	0.8000	0.8130	0.7720	0.7700	0.7830
45	scene 1	2.1860	0.6610	0.7240	0.7110	0.6780	0.6830	0.7020
45	scene 2	2.1860	0.7180	0.7910	0.8160	0.7080	0.7210	0.7440
45	scene 3	2.1860	0.7350	0.7670	0.7520	0.7390	0.7530	0.7680
45	scene 4	2.1860	0.7150	0.7590	0.6590	0.7090	0.7190	0.7190
46	total scene	2.2820	0.7670	0.8010	0.8170	0.7730	0.7700	0.7830
46	scene 1	2.1840	0.6620	0.7240	0.6980	0.6780	0.6860	0.7040
46	scene 2	2.1840	0.7190	0.7920	0.8210	0.7080	0.7210	0.7450
46	scene 3	2.1840	0.7350	0.7710	0.7610	0.7390	0.7540	0.7680
46	scene 4	2.1840	0.7150	0.7590	0.6930	0.7090	0.7180	0.7180
47	total scene	2.2810	0.7670	0.8020	0.8110	0.7730	0.7710	0.7830
47	scene 1	2.1810	0.6620	0.7230	0.6690	0.6790	0.6850	0.7030
47	scene 2	2.1810	0.7190	0.7930	0.8120	0.7090	0.7220	0.7450
47	scene 3	2.1810	0.7340	0.7680	0.7440	0.7390	0.7530	0.7680
47	scene 4	2.1810	0.7160	0.7610	0.6700	0.7100	0.7200	0.7200
48	total scene	2.2800	0.7670	0.8020	0.8060	0.7730	0.7710	0.7830
48	scene 1	2.1790	0.6630	0.7250	0.6760	0.6790	0.6850	0.7030
48	scene 2	2.1790	0.7190	0.7930	0.8080	0.7090	0.7220	0.7450
48	scene 3	2.1790	0.7350	0.7680	0.7460	0.7400	0.7530	0.7680
48	scene 4	2.1790	0.7160	0.7620	0.6890	0.7100	0.7200	0.7200
49	total scene	2.2790	0.7680	0.8050	0.8150	0.7740	0.7710	0.7830
49	scene 1	2.1770	0.6640	0.7210	0.6660	0.6800	0.6870	0.7050
49	scene 2	2.1770	0.7200	0.7960	0.8180	0.7090	0.7220	0.7460
49	scene 3	2.1770	0.7350	0.7750	0.7620	0.7380	0.7520	0.7670
49	scene 4	2.1770	0.7160	0.7630	0.6920	0.7100	0.7200	0.7200
50	total scene	2.2780	0.7680	0.8050	0.8160	0.7730	0.7710	0.7840
50	scene 1	2.1750	0.6630	0.7290	0.6920	0.6800	0.6870	0.7040
50	scene 2	2.1750	0.7200	0.7960	0.8200	0.7090	0.7220	0.7460
50	scene 3	2.1750	0.7350	0.7670	0.7590	0.7390	0.7530	0.7690
50	scene 4	2.1750	0.7170	0.7650	0.7040	0.7100	0.7200	0.7200
51	total scene	2.2780	0.7680	0.8070	0.8110	0.7740	0.7720	0.7840
51	scene 1	2.1730	0.6640	0.7230	0.6190	0.6820	0.6880	0.7060
51	scene 2	2.1730	0.7200	0.7980	0.8150	0.7100	0.7230	0.7470
51	scene 3	2.1730	0.7360	0.7850	0.7550	0.7400	0.7540	0.7690
51	scene 4	2.1730	0.7170	0.7650	0.6850	0.7110	0.7210	0.7210
52	total scene	2.2770	0.7680	0.8080	0.8150	0.7740	0.7720	0.7840
52	scene 1	2.1710	0.6640	0.7190	0.6370	0.6810	0.6870	0.7020
52	scene 2	2.1710	0.7200	0.7990	0.8180	0.7100	0.7230	0.7470
52	scene 3	2.1710	0.7350	0.7850	0.7550	0.7390	0.7530	0.7680
52	scene 4	2.1710	0.7170	0.7660	0.6950	0.7110	0.7210	0.7210
53	total scene	2.2780	0.7680	0.8080	0.8120	0.7740	0.7720	0.7840
53	scene 1	2.1690	0.6650	0.7310	0.6360	0.6830	0.6890	0.7070
53	scene 2	2.1690	0.7210	0.8000	0.8150	0.7100	0.7230	0.7460
53	scene 3	2.1690	0.7350	0.7730	0.7580	0.7390	0.7530	0.7680
53	scene 4	2.1690	0.7170	0.7670	0.6860	0.7110	0.7200	0.7200
54	total scene	2.2760	0.7680	0.8100	0.8150	0.7740	0.7720	0.7850
54	scene 1	2.1670	0.6650	0.7240	0.5880	0.6820	0.6870	0.7050
54	scene 2	2.1670	0.7210	0.8020	0.8170	0.7100	0.7230	0.7470
54	scene 3	2.1670	0.7350	0.7870	0.7680	0.7390	0.7530	0.7680
54	scene 4	2.1670	0.7180	0.7680	0.6810	0.7120	0.7220	0.7220
55	total scene	2.2750	0.7690	0.8120	0.8100	0.7750	0.7720	0.7850
55	scene 1	2.1660	0.6650	0.7260	0.5900	0.6810	0.6870	0.7060
55	scene 2	2.1660	0.7210	0.8030	0.8130	0.7110	0.7240	0.7470
55	scene 3	2.1660	0.7350	0.7850	0.7540	0.7400	0.7540	0.7680
55	scene 4	2.1660	0.7170	0.7730	0.6680	0.7120	0.7220	0.7220
56	total scene	2.2760	0.7690	0.8120	0.8120	0.7750	0.7720	0.7850
56	scene 1	2.1640	0.6660	0.7280	0.5690	0.6820	0.6880	0.7060
56	scene 2	2.1640	0.7210	0.8030	0.8140	0.7110	0.7240	0.7470
56	scene 3	2.1640	0.7360	0.7830	0.7690	0.7390	0.7530	0.7690
56	scene 4	2.1640	0.7170	0.7700	0.7010	0.7110	0.7210	0.7210
57	total scene	2.2730	0.7690	0.8130	0.8100	0.7750	0.7730	0.7850
57	scene 1	2.1630	0.6650	0.7230	0.5910	0.6810	0.6880	0.7060
57	scene 2	2.1630	0.7220	0.8050	0.8120	0.7110	0.7240	0.7480
57	scene 3	2.1630	0.7360	0.7850	0.7540	0.7400	0.7540	0.7690
57	scene 4	2.1630	0.7180	0.7700	0.7020	0.7120	0.7220	0.7220
58	total scene	2.2760	0.7690	0.8130	0.8130	0.7750	0.7720	0.7850
58	scene 1	2.1610	0.6660	0.7260	0.5620	0.6830	0.6890	0.7060
58	scene 2	2.1610	0.7210	0.8060	0.8150	0.7110	0.7240	0.7480
58	scene 3	2.1610	0.7360	0.7830	0.7560	0.7400	0.7550	0.7690
58	scene 4	2.1610	0.7180	0.7720	0.7030	0.7120	0.7220	0.7220
59	total scene	2.2730	0.7690	0.8150	0.8100	0.7750	0.7720	0.7850
