epoch 	 scene 	 val_loss 	 click_auc 	 like_auc 	 follow_auc 	 5s_auc 	 10s_auc 	 18s_auc
28	total scene	2.3180	0.7550	0.7740	0.8200	0.7610	0.7590	0.7720
28	scene 1	2.2550	0.6310	0.7270	0.8510	0.6430	0.6520	0.6720
28	scene 2	2.2550	0.7030	0.7600	0.8170	0.6920	0.7070	0.7320
28	scene 3	2.2550	0.7220	0.7680	0.7370	0.7260	0.7390	0.7560
28	scene 4	2.2550	0.6980	0.7220	0.7740	0.6930	0.7000	0.7000
29	total scene	2.3160	0.7560	0.7760	0.8200	0.7620	0.7600	0.7730
29	scene 1	2.2490	0.6350	0.7250	0.8600	0.6470	0.6540	0.6750
29	scene 2	2.2490	0.7040	0.7630	0.8110	0.6940	0.7080	0.7330
29	scene 3	2.2490	0.7230	0.7690	0.7470	0.7260	0.7410	0.7570
29	scene 4	2.2490	0.7000	0.7230	0.8040	0.6940	0.7020	0.7020
30	total scene	2.3100	0.7570	0.7780	0.8120	0.7630	0.7610	0.7750
30	scene 1	2.2440	0.6360	0.7310	0.9040	0.6500	0.6570	0.6780
30	scene 2	2.2440	0.7060	0.7640	0.8050	0.6950	0.7100	0.7340
30	scene 3	2.2440	0.7240	0.7740	0.7170	0.7280	0.7420	0.7580
30	scene 4	2.2440	0.7010	0.7240	0.7700	0.6950	0.7040	0.7040
31	total scene	2.3080	0.7580	0.7800	0.8210	0.7640	0.7620	0.7760
31	scene 1	2.2380	0.6370	0.7300	0.8880	0.6500	0.6580	0.6820
31	scene 2	2.2380	0.7070	0.7670	0.8150	0.6960	0.7110	0.7360
31	scene 3	2.2380	0.7250	0.7730	0.7170	0.7290	0.7430	0.7580
31	scene 4	2.2380	0.7020	0.7330	0.7660	0.6950	0.7040	0.7040
32	total scene	2.3050	0.7590	0.7820	0.8220	0.7650	0.7630	0.7760
32	scene 1	2.2340	0.6390	0.7410	0.8980	0.6530	0.6600	0.6820
32	scene 2	2.2340	0.7080	0.7690	0.8150	0.6980	0.7120	0.7370
32	scene 3	2.2340	0.7260	0.7740	0.7270	0.7290	0.7430	0.7580
32	scene 4	2.2340	0.7040	0.7280	0.7760	0.6970	0.7060	0.7060
33	total scene	2.3030	0.7600	0.7850	0.8270	0.7660	0.7640	0.7770
33	scene 1	2.2290	0.6400	0.7350	0.7550	0.6530	0.6610	0.6830
33	scene 2	2.2290	0.7100	0.7720	0.8220	0.6990	0.7130	0.7380
33	scene 3	2.2290	0.7280	0.7800	0.7250	0.7310	0.7460	0.7610
33	scene 4	2.2290	0.7050	0.7350	0.8060	0.6990	0.7070	0.7070
34	total scene	2.3000	0.7610	0.7860	0.8210	0.7660	0.7650	0.7780
34	scene 1	2.2250	0.6410	0.7370	0.7890	0.6550	0.6620	0.6840
34	scene 2	2.2250	0.7110	0.7740	0.8180	0.7000	0.7140	0.7390
34	scene 3	2.2250	0.7280	0.7780	0.7210	0.7310	0.7460	0.7610
34	scene 4	2.2250	0.7060	0.7330	0.8060	0.6990	0.7080	0.7080
35	total scene	2.2970	0.7620	0.7860	0.8240	0.7670	0.7650	0.7790
35	scene 1	2.2200	0.6430	0.7380	0.7900	0.6570	0.6640	0.6850
35	scene 2	2.2200	0.7120	0.7740	0.8220	0.7010	0.7150	0.7400
35	scene 3	2.2200	0.7280	0.7810	0.7210	0.7310	0.7450	0.7610
35	scene 4	2.2200	0.7070	0.7320	0.8040	0.7000	0.7090	0.7090
36	total scene	2.2950	0.7620	0.7880	0.8230	0.7680	0.7660	0.7790
36	scene 1	2.2170	0.6450	0.7420	0.8410	0.6600	0.6670	0.6890
36	scene 2	2.2170	0.7130	0.7750	0.8180	0.7020	0.7160	0.7410
36	scene 3	2.2170	0.7280	0.7780	0.7350	0.7320	0.7460	0.7620
36	scene 4	2.2170	0.7080	0.7380	0.7980	0.7010	0.7110	0.7110
37	total scene	2.2920	0.7630	0.7920	0.8200	0.7680	0.7670	0.7800
37	scene 1	2.2120	0.6470	0.7440	0.8290	0.6610	0.6670	0.6880
37	scene 2	2.2120	0.7130	0.7810	0.8170	0.7020	0.7170	0.7410
37	scene 3	2.2120	0.7280	0.7810	0.7120	0.7320	0.7460	0.7620
37	scene 4	2.2120	0.7090	0.7440	0.7910	0.7030	0.7120	0.7120
38	total scene	2.2890	0.7640	0.7930	0.8120	0.7690	0.7670	0.7800
38	scene 1	2.2090	0.6470	0.7410	0.9130	0.6600	0.6680	0.6880
38	scene 2	2.2090	0.7140	0.7810	0.8050	0.7030	0.7180	0.7420
38	scene 3	2.2090	0.7300	0.7810	0.7200	0.7330	0.7470	0.7630
38	scene 4	2.2090	0.7100	0.7490	0.7830	0.7040	0.7120	0.7120
39	total scene	2.2890	0.7640	0.7930	0.8240	0.7700	0.7680	0.7810
39	scene 1	2.2050	0.6490	0.7420	0.8470	0.6630	0.6700	0.6910
39	scene 2	2.2050	0.7150	0.7820	0.8210	0.7040	0.7180	0.7430
39	scene 3	2.2050	0.7300	0.7830	0.7190	0.7330	0.7470	0.7630
39	scene 4	2.2050	0.7110	0.7470	0.7800	0.7040	0.7130	0.7130
40	total scene	2.2870	0.7650	0.7950	0.8200	0.7700	0.7680	0.7820
40	scene 1	2.2020	0.6500	0.7450	0.7480	0.6630	0.6700	0.6920
