epoch 	 scene 	 val_loss 	 click_auc 	 like_auc 	 follow_auc 	 5s_auc 	 10s_auc 	 18s_auc
22	scene 1	2.5810	0.5390	0.4840	0.5120	0.5410	0.5560	0.5860
22	scene 2	2.5810	0.5940	0.4950	0.5090	0.5860	0.6000	0.6120
22	scene 3	2.5810	0.6100	0.5150	0.4130	0.6080	0.6170	0.6220
22	scene 4	2.5810	0.5810	0.4990	0.5210	0.5760	0.5830	0.5830
23	total scene	2.5760	0.6660	0.5470	0.5390	0.6740	0.6660	0.6650
23	scene 1	2.5710	0.5240	0.5570	0.2990	0.5290	0.5400	0.5650
23	scene 2	2.5710	0.5970	0.4960	0.4890	0.5880	0.6020	0.6130
23	scene 3	2.5710	0.6120	0.4790	0.4620	0.6090	0.6200	0.6270
23	scene 4	2.5710	0.5770	0.5310	0.5620	0.5750	0.5800	0.5800
24	total scene	2.5680	0.6660	0.5510	0.5810	0.6750	0.6680	0.6690
24	scene 1	2.5640	0.5310	0.4950	0.3660	0.5280	0.5360	0.5610
24	scene 2	2.5640	0.5970	0.4990	0.5440	0.5880	0.6040	0.6180
24	scene 3	2.5640	0.5950	0.5440	0.4860	0.5980	0.6060	0.6120
24	scene 4	2.5640	0.5820	0.4910	0.6240	0.5770	0.5860	0.5860
25	total scene	2.5720	0.6670	0.5610	0.5900	0.6750	0.6710	0.6700
25	scene 1	2.5550	0.5320	0.4950	0.4900	0.5320	0.5380	0.5670
25	scene 2	2.5550	0.5970	0.5100	0.5540	0.5880	0.6070	0.6180
25	scene 3	2.5550	0.6010	0.4940	0.4490	0.6040	0.6130	0.6150
25	scene 4	2.5550	0.5760	0.5230	0.6440	0.5770	0.5870	0.5870
26	total scene	2.5460	0.6730	0.5530	0.5750	0.6810	0.6750	0.6770
26	scene 1	2.5500	0.5390	0.5250	0.6080	0.5460	0.5550	0.5810
26	scene 2	2.5500	0.6040	0.5010	0.5270	0.5940	0.6120	0.6250
26	scene 3	2.5500	0.6160	0.5150	0.4810	0.6120	0.6210	0.6260
26	scene 4	2.5500	0.5800	0.5160	0.6370	0.5770	0.5880	0.5880
27	total scene	2.5410	0.6750	0.5570	0.5930	0.6830	0.6780	0.6770
27	scene 1	2.5420	0.5300	0.5100	0.0270	0.5370	0.5450	0.5760
27	scene 2	2.5420	0.6060	0.5040	0.5360	0.5970	0.6150	0.6250
27	scene 3	2.5420	0.6130	0.5180	0.5920	0.6150	0.6280	0.6330
27	scene 4	2.5420	0.5870	0.5090	0.6480	0.5830	0.5930	0.5930
28	total scene	2.5350	0.6770	0.5610	0.5970	0.6840	0.6810	0.6810
28	scene 1	2.5350	0.5330	0.5070	0.6780	0.5360	0.5460	0.5750
28	scene 2	2.5350	0.6080	0.5110	0.5570	0.5980	0.6180	0.6300
28	scene 3	2.5350	0.6100	0.4690	0.4770	0.6180	0.6220	0.6270
28	scene 4	2.5350	0.5890	0.5310	0.6090	0.5880	0.6000	0.6000
29	total scene	2.5340	0.6790	0.5600	0.6030	0.6870	0.6820	0.6830
29	scene 1	2.5280	0.5460	0.5640	0.6910	0.5450	0.5570	0.5770
29	scene 2	2.5280	0.6100	0.5050	0.5760	0.6010	0.6180	0.6310
29	scene 3	2.5280	0.6220	0.4930	0.4640	0.6220	0.6350	0.6380
29	scene 4	2.5280	0.5840	0.5470	0.5330	0.5820	0.5950	0.5950
30	total scene	2.5360	0.6810	0.5640	0.5750	0.6880	0.6840	0.6850
30	scene 1	2.5220	0.5330	0.5130	0.2740	0.5320	0.5460	0.5730
30	scene 2	2.5220	0.6120	0.5150	0.5120	0.6020	0.6200	0.6340
30	scene 3	2.5220	0.6190	0.5070	0.5550	0.6200	0.6290	0.6350
30	scene 4	2.5220	0.5930	0.5070	0.7490	0.5890	0.6010	0.6010
31	total scene	2.5210	0.6820	0.5600	0.5960	0.6900	0.6860	0.6880
31	scene 1	2.5180	0.5490	0.5130	0.2320	0.5450	0.5570	0.5780
31	scene 2	2.5180	0.6130	0.5080	0.5760	0.6040	0.6220	0.6360
31	scene 3	2.5180	0.6320	0.4830	0.4590	0.6320	0.6430	0.6420
31	scene 4	2.5180	0.5950	0.5280	0.3880	0.5930	0.6050	0.6050
32	total scene	2.5160	0.6840	0.5630	0.5750	0.6910	0.6880	0.6900
32	scene 1	2.5120	0.5440	0.4950	0.3930	0.5480	0.5670	0.6060
32	scene 2	2.5120	0.6160	0.5120	0.5270	0.6050	0.6250	0.6380
32	scene 3	2.5120	0.6340	0.5230	0.5090	0.6320	0.6460	0.6490
32	scene 4	2.5120	0.5930	0.5160	0.6180	0.5890	0.6040	0.6040
33	total scene	2.5150	0.6850	0.5660	0.5820	0.6910	0.6890	0.6920
